oocyte #1,oocyte #3,oocyte #4,pronuclear #3,pronuclear #4,pronuclear #2,zygote #1,zygote #2,2 cell #1,2 cell #5,2 cell #6,4 cell #1,4 cell #2,4 cell #3,4 cell #4,8 cell #3a,8 cell #6a,8 cell #7a,8 cell #1b,8 cell #2b,8 cell #3b,8 cell #4b,8 cell #5b,8 cell #3c,8 cell #5c,8 cell *,morula #1,morula #4,morula #5,
ABCA4,0.03,0,0,0.33,0.11,0.69,0.05,0.28,0.08,0,0,0.28,0,0.1,0,0.49,0.03,0,1.41,0,0.74,5.65,0.21,0.53,1,0.5,0,0,0
ABCB10,0.03,0,5.89,0.23,0.1,0.11,0.03,0.13,0.51,0.91,0.43,0,0,0.1,0.56,2.84,0,0,0.03,0,0,0,0,5.15,0.03,0,1.86,9.05,16.72
ABCD3,4.93,7.73,14.28,51.97,42.84,45.03,17.28,17.29,41.15,34.94,58.4,34.01,59.5,21.4,19.88,11.42,10.45,6.39,9.71,24.89,1.75,4.08,0.31,0,0.03,12.24,8.44,20.78,23.28
ABL2,6.33,7.03,6.5,5.78,4.99,6.24,6.6,5.71,7.3,4.41,5.74,9.09,7.62,16.88,8.16,7.4,0.82,0.32,1.8,2.1,8.44,3.52,4.34,3.15,8.61,3.88,0.88,0.72,1.08
ACADM,0.03,2.89,7.09,0.44,0.05,0,0.03,0.32,0.1,1,0,0.53,0,0.1,0,0,0,0,0.03,0,0,0,7.01,0,0.03,0,4.3,13.85,17.37
ACAP3,0.03,0,0,0.14,0.2,0.02,0.01,0.31,0.11,0,0,0.22,0,0.1,0,0,0.17,0.1,0.03,0,0,0,0.31,2.56,0.03,0.14,0.13,0,0
ACBD3,31.37,63.48,49.81,32.83,25.89,14.25,17.82,11.01,35.36,81.77,33.57,40.17,34.52,13.06,33.16,36.87,56.81,48.37,39.09,41.34,105.29,44.68,24.71,5.19,12.92,83.16,8.42,18.52,12.42
ACBD6,0.03,2.76,4.84,4.68,7.58,8.69,1.39,3.66,6.66,4.3,2.81,23.82,5.89,0.1,0,1.26,0.13,0,0.03,1.01,31.11,1.3,6.67,0,4.09,0,20.22,72.99,49.84
ACOT11,0.03,0,0,0,0,0.08,0,0,0,0.29,0.34,0.15,9.86,5.69,0.49,152.2,188.43,254.18,100.11,324.03,277.51,244.99,157.27,265.21,315.97,16.63,390.25,39.2,31.06
ACOT7,0.03,1.42,1.83,3.82,7.86,8.65,6.05,0.63,0.65,3.67,0.68,1.72,5.4,54.56,0,0.79,3.85,0,0.03,0.32,5.88,0,0,0.77,5.9,6.11,22.05,5.49,6.25
ACP6,3.25,6.03,5.93,0.12,4.63,5.86,1.44,3.05,0.19,1.17,1.35,1.02,0,8.49,2.58,0,0,0,0.03,0.3,0.49,9.05,0,0.62,0.03,0.7,0.5,0,0.43
ACTA1,0.03,0,0,0,0,0,0,0,0,0.41,0,0,0,0.1,0,0.11,3.45,0,66.53,0.52,1.27,18.72,0,0,19.08,0.02,0.87,0,0.08
ACTL8,771.07,644.15,781.41,1961.02,2447.84,2721.26,2721.26,1340,1108.66,826.33,985.37,2227.18,1172.06,603.32,1361.18,258.75,346.89,305.6,1079.65,527.71,759.37,1683.05,2362.43,70.58,74.16,1755,4.65,0.33,0.16
ACTN2,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.2,4.15,6.76,3.48,5.06,0,0.28,7.31,1.17,0.37,0.01,0.93,0.07
ADAM15,0.03,0.14,0,0.6,1.11,1.98,0.99,0.73,1.44,0,6.16,1.02,1.09,0.1,2.92,2.39,1.78,0,0.03,0.5,2.15,4.58,0.51,0,17.26,0.99,0.92,0,0.17
ADAMTS4,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.05,1.21,0.03,0,0,0,0,2.87,0.03,0,0,0,1.31
ADAR,12.39,12.44,5.81,44.71,43.14,26.63,78.83,60.72,140.88,23.03,44.45,112.67,97.92,49.41,88.67,3.16,1.64,1.43,21.5,6.32,16.19,27.16,28.09,1.98,2.4,24.26,1.34,3.1,2.56
ADC,37.59,18.7,20.94,14.99,24.77,28.31,15.13,17.88,33.8,13.13,3.48,14.94,25.48,5.51,41.31,3.22,3.09,20.09,3.16,6.8,19.21,2.28,8.11,8.19,5.37,20.4,1.06,0.1,0.06
ADCY10,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.15,0.09,0,0.03,0.81,0.61,3.67,0.31,0,0.03,0.08,0.05,0,0.05
ADIPOR1,5.51,24.91,0.63,12.32,10.29,12.36,17.7,10.9,13.68,1.97,7.88,7.09,4.59,0.1,16.47,66.83,49.29,66.04,6.41,34.42,29.54,11.78,7.24,95,5.09,95,24.3,11.17,5.63
ADORA1,0.03,0,0,0,0,0.03,0.01,0,0,0,0,0,0,0.1,1.05,0,0,0,0.03,0.65,9.55,0,0,0,0.03,0,0,0,0
ADORA3,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.03,0,0.51,0.62,13.77,0,0.03,0,0,0,0.72
ADPRHL2,13.18,0,0,2.07,0.73,0.41,1.34,0.17,0.05,0.67,9.96,12.39,0,0.1,0,5.09,4.48,6.39,7.77,3.73,42.77,1.28,27.27,3.05,2.12,1,24.74,16.14,10.55
ADSS,1.33,6.65,5.39,2.78,2.48,0.81,8.7,2.18,1.56,14.65,2.21,3.22,4.38,0.1,15.02,8.04,10.04,3.9,0.03,18.32,1.33,0,0.42,9.66,3.66,1.99,4.43,8.67,14.15
AGBL4,1.84,0.1,0,0.03,0.72,0.04,0.21,0,0.82,0,0,0.08,0.3,0.1,1.51,0,0,0,0.03,0,0,0,0,0,0.03,0.02,0,0,0
AGL,0.03,0.95,0,0.14,0.19,0.13,0.4,1.04,1.71,2.22,1.65,1.33,2.17,0.1,1.45,5.47,0.98,1.7,1.33,0,0.45,2.94,0,5.7,0.98,5.19,24.22,86.46,130.95
AGMAT,1.44,0.38,1.08,1.48,1.23,1.56,1.27,0.17,1.44,0,6.04,0.33,1.05,0.1,0,1.12,2.27,8.23,2,0,0,0,0,0,13.81,5.42,0.67,0,0.06
AGTRAP,6.69,44.01,20.83,35.76,48.5,43.4,38.64,31.03,17.78,4.06,3.82,7.92,4.15,0.1,25.43,11.11,0,1.13,57.57,25.08,14.23,37.89,38.67,0,3.79,7.44,14.05,5.7,1.42
AHCTF1,32.89,10.24,21.82,4.37,3.27,3.31,3.24,12.48,6.47,24.14,3.66,5.39,14.08,23.93,5.89,9.82,7.16,11.48,10.28,6.77,4.06,6.03,1.92,4.6,8.58,5.1,2.77,4.03,5.14
AHCYL1,3.38,7.01,10.1,14.05,15.99,18.31,6.84,7.94,6.34,3.78,22.15,8.46,3.45,3.8,8.68,0.19,6.3,2.34,1.34,0.2,0.3,7.9,0.23,0.43,12.83,2.95,3.1,9.13,6.13
AHDC1,0.03,0,0,0.23,0.23,0.57,0.26,0.42,0.96,1.36,0.37,0.93,2.24,6.41,0.25,0.09,0.18,0,8.26,0.16,0,0.95,0,0,1.39,0.5,0,0.06,0
AIDA,1.3,1.59,2.36,2.5,1.37,0.94,0.79,2.06,1.68,1.43,3.98,3.31,3.1,0.1,9.99,7.82,5.31,7.11,1.59,1.31,1.12,7.4,0.56,3.18,5.65,0.72,3.08,3.16,3.76
AIM1L,0.03,0.2,0.62,0.18,0.07,0.59,0.58,1.56,0.07,0.33,0,0,0,0.1,2.46,0.15,1.22,0,12.35,0.25,6.7,0.52,5.67,0,25,0,0.22,0,0
AJAP1,0.03,0,0,0.02,0.53,0.03,0.03,0.03,0,0,0,0.12,0,0.1,0,0,0,0,0.03,0,0,0,0,0,0.03,0.08,0,0,0
AK2,8.23,15.83,7.24,7.13,9.11,7.71,11.33,11,3.17,9.72,2.83,5.43,8.31,30.02,7.35,26.38,15.39,15.03,26.49,23.65,33.59,9.89,32.73,23.28,25.04,8.39,41.49,35.36,41.31
AK4,19.4,14.87,17.85,3.79,2.43,2.55,3.05,14.27,0.1,4.37,4.53,0.8,1.18,0.1,1.74,1.35,0.51,1.52,5.85,0.25,1.12,1.32,0.24,0,1.01,0.02,19.62,33.86,35.18
AK5,14.15,12.58,6.35,8.26,2.04,1.09,6.33,1.48,3.94,4.88,0.97,2.18,11.8,3.71,4.5,1.35,3.14,0.3,5.59,0.14,0,3.82,2.95,3.54,5.61,2.97,0.25,0.2,0.64
AKIRIN1,9.07,26.29,25.61,83.8,50.72,52.98,19.38,22.76,35.99,7.58,10.22,23.25,4.27,6.73,15.93,127.79,93.12,124.58,11.15,18.5,3.59,4.85,9.2,47.38,69.33,36.14,40.66,44.99,42.77
AKR1A1,3.93,4.54,2.32,6.56,19.48,29.65,9.79,9.19,15.91,1.59,6.38,6.7,56.45,8.16,13.59,4.91,1.46,7.34,2.53,13.89,11.54,45.23,5.04,16.25,4.8,50.14,88.15,32.63,48.46
AKR7A2,9.78,10.27,12.22,13.8,23.81,27.07,9.38,9.6,7.43,22.22,31.54,5.89,2.88,11.57,22.24,0,0.06,0.66,0.03,16.81,1.02,1.57,0,1.76,72.65,11.34,16.14,4.05,2.84
AKT3,36.74,23.51,34.07,13.17,19.34,20.84,18.04,37.28,16.33,11.62,13.27,12.77,24.45,21.76,9.1,8.5,3.05,10.98,29.23,7.24,4.17,3.29,2.8,0.59,36.41,4.05,1.52,2.11,5.85
ALDH4A1,0.03,0,0,0.09,0.36,0.56,0.44,0.03,0.13,0,0.45,0.1,0.28,0.1,0,0.6,0,0,0.03,0,0,0,0.51,0,0.03,0,0.4,0,0
ALDH9A1,36.8,30.79,25.52,80.48,69.78,57.83,47.78,74.71,147.73,91.6,175.21,125.74,164.67,152.81,69.33,10.23,6.85,20.8,82.5,27.95,13.84,33.75,49.38,1.77,5.52,48.92,8.17,14.75,13.4
ALG14,2.3,6.46,2.38,0.01,0.17,0.04,0.05,0,0.39,0,0,0,0,0.1,0,0,2.25,0,0.03,0,0.73,0,0.54,69.26,11.94,0,53.47,106.54,64
ALG6,8.72,6.35,9.23,3.26,1.61,0.63,7.04,6.36,4.05,7.6,14.87,1.65,4.83,3.13,0,7.8,3.99,1.82,0.03,10.98,1.29,0,0,6.21,0.03,0.02,6.77,33.26,35.21
ALPL,0.03,0,0,0.01,0,0,0,0,0,0,0,0.16,0,0.1,0.49,0.33,0.07,0,1.76,0,0,0,0.27,11.14,11.5,0,224.05,108.25,78.45
ALX3,0.03,0,0,0.06,0.06,0.06,0.03,0,0,0,0,0.23,0.39,0.1,1.14,0,0,0,0.03,0,0,0,0,0,0.03,0,0,0,0
AMIGO1,0.03,0,0.46,2.62,3.95,4.51,2.62,0.17,11.81,2.11,1.57,14.99,0.91,0.1,3.6,0,1.03,7.44,4.17,0.37,1.7,17.18,0,0,0.03,1.96,0,0.09,0
AMPD1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.15,0,0.03,0,0,0,0,0,0.03,1.99,0,0,0
AMPD2,7.29,2.3,7.21,16.08,20.56,24.28,11.39,6.4,6.09,2.9,1.14,17.18,11.16,10.49,14.34,0.33,0.24,0.63,0.03,2.38,4.05,1.85,3.05,2.17,0.03,0.34,2.83,0.54,0.43
AMY2B,3.84,1.03,1.39,0.13,0.03,0.01,0.39,0.73,0.39,2.26,1.32,0.29,3.49,13.45,1.05,0.47,2.7,1.69,9.13,0.51,3.86,0,0,2.28,0.03,0.07,0.02,0.36,2.4
ANGEL2,7.8,4.92,7.5,0.55,0.4,0.75,0.16,0.49,1.53,0,0,0.48,0,0.1,0,6.1,2.87,3.31,28.33,0.4,0,0,0,0.77,0.03,1.52,1.3,4.04,5.81
ANGPTL1,6.23,0.13,1.24,0.17,0,0.23,0,0.06,0,0,1.29,0,0,0.1,0,0,0,0,0.03,0,0,0,0.55,0,0.03,0,0,0,0
ANKRD13C,5.05,3.89,5.68,1.13,0.31,0.1,1.13,0.92,1.04,1.86,0.79,0.41,0,2.78,5.54,22.69,10.66,8.38,2.24,22.27,2.96,23.19,10.19,22.87,27.41,27.49,2.65,9.29,9.23
ANKRD35,0.03,0,0,0,0.01,0,0,0,0,0,0,0,0,12.66,0,14.69,5.96,18.89,17.89,1.17,1.52,0.85,6.72,46.59,4.32,37.65,0.16,0,0.03
ANKRD45,0.03,6.82,5.09,5.8,1.22,1.95,12.89,5.49,16.26,11.97,0,3.73,1.73,0.1,8.27,0,0.5,0,0.03,0.24,4.7,0,11.22,0,1.56,0.02,0.26,0,0
ANP32E,3.34,2,3.85,1.76,0.66,0.73,0.06,0.03,0.73,0.33,0.21,0.1,0,0.1,0.4,8.87,8.59,3.14,0.03,0,0,0.73,0,0.99,0.03,5.67,1.71,6.57,5.44
AP4B1,4.47,4.41,0,7.07,8.12,6.65,4.65,6.38,16.04,4.25,13.96,15.52,10.2,0.1,4.96,6.5,27.39,6.29,110.1,23.7,14,9.04,10.99,45.17,29.44,72.23,7.92,8.57,8.03
APH1A,50.93,24.51,25.34,53.78,111.23,108.43,63.03,45.03,34.55,4.63,30.64,82.08,48.46,16.35,85.14,21.72,6.88,16.51,60.04,28.49,71.22,19.81,39.37,8.85,5.16,39.97,9.35,2.05,0.41
APITD1,14.77,28.88,14.36,113.49,61.11,45.49,39,37,51.63,37.28,87.22,238.32,60.82,43.08,16.69,17.69,13.9,17.11,4.43,38.94,65.45,41.19,49.81,16.16,55.02,79.98,27.79,28.23,29.68
APOA1BP,5.85,7.67,5.06,2.91,7.02,3.91,1.53,0.68,0.79,6.37,1.78,6.64,12.09,0.1,2.37,0.26,0,0.34,0.03,0.39,0,0,0,1.11,0.03,5.15,12.31,8.84,2.75
APOA2,5.76,0,3.96,0,1.13,15.27,1.65,41.37,5.13,29.93,0.49,7.68,149.71,0.1,0,34.09,0,17.49,0.03,9.82,2.65,31.82,0,76.17,0.03,106.78,0.63,0,7.11
ARF1,90.63,171.1,99.16,260.63,346.89,317.1,320.65,221.39,420.93,76.5,275.75,239.08,150.21,24.84,154.48,319.45,190.55,317.1,156.75,208.66,252.49,334.18,184.76,345.24,202.58,164.67,137.82,58.07,58.67
ARHGAP29,1.19,0.65,1.77,3.61,1.77,0.77,7.32,2.75,4.87,23.42,11.51,5.14,12.73,22.99,4.3,0.77,3.83,2.05,1.08,0.54,0,1.71,0.2,2.34,1.44,3.49,0.18,1.63,0.62
ARHGAP30,0.03,0,0,0.42,0.24,0.24,0.59,1.73,1.71,0.97,0.56,1.95,0,0.1,0,0,0,0.08,0.03,0,0,0.54,0,0.55,0.03,0,0,0,0
ARHGEF11,0.03,0.1,0,0.18,0.14,0.67,0.36,0.42,1.57,0,0.8,0.59,1.02,0.1,1.29,0,0,0,11.89,0.92,3.8,2.48,4.1,0.45,8.46,0.05,0.17,0.09,0.26
ARHGEF16,17.78,23.06,22.02,29.18,36.46,57.28,13.27,28.69,5.51,8.52,11.95,27.89,15.41,0.1,17.48,0.38,0,0,0.03,0.28,2.04,12.66,0.41,1.1,3.56,5.04,0.12,0,0
ARHGEF19,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.04,0,0.03,0,0,0,0,0,0.03,0.79,0.02,0.04,0
ARHGEF2,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.52,0.13,0,1.31,0,0,0,0,3.31,1.21,0,0.02,0,0
ARID1A,13.04,6.95,7,29.38,32.22,28.4,17.52,24.7,41.86,13.6,20.06,89.09,44.58,7.56,37.84,10.63,9.07,8.88,1.09,4.44,12.78,0.87,5.34,13.66,3.25,19.29,4.7,17.1,25.82
ARID4B,1.15,5,2.82,6.73,7.16,3.47,0.69,0.63,0.42,1.15,2.44,5.81,0.25,2.74,2.27,15.51,6.83,17.4,48.81,10.52,1.9,14.48,0.4,1.81,3.24,16.05,0.64,5.39,5.59
ARL8A,0.03,0,0,0,0.01,0,0,0,0,0.4,0,0,0,0.1,0.4,0.09,0,0.67,8.12,0.46,0.41,1.78,2.93,1.38,0.03,0.29,0.08,0.89,0.14
ARNT,1.38,1.82,0,2.49,3.61,1.16,2.76,3.95,3.56,5.62,0.44,0.92,12.03,2.87,7.01,2.89,0.15,7.1,0.03,0.22,0,0,4.15,0,19.93,0,4.43,1.22,1.43
ARPC5,11.85,8.12,1.57,2.75,7.4,0.78,17.29,5.26,17,4.38,2.48,2.68,0.34,29.68,0.79,22.95,4.73,14.08,5.69,1.94,15.6,1.14,38.88,5.98,19.41,2.45,37.18,95.14,107.48
ARV1,275.75,161.32,162.63,41.02,68.68,63.55,66.11,125.25,55.49,71.22,135.95,37.7,2.76,97.46,8.38,4.13,0.12,0,0.03,0,0,0,0,0,0.03,0.19,7.36,8.15,23.75
ASAP3,0.03,0,0,0.83,0.3,0.81,0.19,0.4,0.6,0.35,0.9,1.14,4.34,0.1,0.67,1.71,0.19,0.28,0.03,1.97,0.74,3.42,0.85,0,4.16,0.12,0.7,0.67,0.09
ASH1L,4.6,0.89,0.39,2.53,1.51,1.19,0.42,0.73,1.76,3.01,4.54,4.39,3.34,0.1,1.58,6.72,3.29,7.95,1.92,1.77,0.3,1.93,8.85,5.27,11.38,2.52,0.11,0.6,0.71
ASPM,28.4,33.18,40.77,20.18,7.31,6.8,18.25,14.66,14.95,31.15,11.48,11.07,9.37,32.01,9.49,1.54,5.42,1.85,2.29,0.81,2.7,0.35,2.24,6.11,11.04,4.89,2.99,7.14,6.13
ATAD3A,0.03,0.18,0,0.21,0.85,1.37,0.79,0.48,0.57,1.88,3.33,2.52,6.2,0.1,0.85,0,0.78,0,0.03,1.47,0.37,0.48,0.35,0.5,4.01,1.1,3.04,2.42,1
ATAD3B,0.03,0,0.47,0.04,0.03,0.22,0.04,0.13,0.08,0.4,0,1.06,0.44,0.1,0,19.42,28.19,30.66,0.03,1.66,1.59,0,4.11,9.5,50.08,4.61,72.5,5.56,5.31
ATAD3C,2.01,4.96,0.51,7.76,5.63,6.53,11.06,1.29,1.3,2.89,2.59,14.25,3.3,11.09,7.28,1.37,2.98,4.51,9.09,2.88,2.95,14.82,9.79,0.43,3.44,8.46,0.03,0.03,0.04
ATF3,0.03,0,0,0,0,0,0,0,0,0.32,0,2.56,0.32,4.56,0.39,97.24,40.38,31.66,2.91,0.25,2.03,0,3.37,88.15,9.12,0.21,15.51,18.98,7.88
ATF6,0.03,1.75,3.84,17.94,14.31,15.89,29.34,31.15,33.24,7.26,8.18,15.49,1.38,0.1,50.31,0,2.55,0,50.97,7.26,19.7,24.18,5.98,1.27,19.6,11.25,21.3,22.82,35.87
ATG4C,7.35,56.03,27.3,16.11,4.11,1.21,2.95,3.76,4.64,13.66,2.86,0.32,1.86,0.1,0.34,1.31,11.14,0.74,2.29,0,0,0,0,0.62,0.03,0,6.23,43.88,22.64
ATP13A2,3.44,1.08,0.99,0.7,1.7,0.93,0.56,0.36,1.59,0.47,0.43,0.78,0.34,0.1,0.38,0,1.34,0.21,0.03,0.66,0,0,0.99,0,0.03,0.02,6.6,3.89,2.15
ATP1A1,83.07,81.18,80.75,48.41,83.71,105.77,70.42,73.22,88.77,27.87,72.23,82.28,97.24,20.37,72.5,14.82,24.47,26.65,6.09,43.61,17.89,32.81,35.41,7.43,14.67,36.07,37.41,12.66,16.07
ATP1B1,54.36,81.49,39.39,118.03,67.39,59.56,101.2,57.28,99.16,92.65,78.64,119.02,30.87,102.98,109.83,24.16,49.88,16.7,14.31,13.99,17.07,64.46,41.98,5.17,21.4,86.57,8.77,26.11,25.98
ATP2B4,18.41,29.93,21.36,16.27,19.73,7.56,30.5,27.68,26.47,18.13,22.87,38.88,19.17,21.55,36.72,0.85,1.54,4.23,15.42,4.63,14.91,6.66,6.49,0.79,1.19,5.06,0.09,1.23,2.97
ATP5F1,19.55,17.86,17.26,13.04,21.91,31.54,28.21,25.01,35.97,33.24,20.21,37.77,7.67,63.74,31.3,78.64,99,45.61,50.09,24.6,35.38,25.12,12.59,30.95,14.31,45.98,236.66,404.54,460.79
ATP6V0B,149.99,282.62,148.84,299.51,474.67,508.64,463.33,442.44,463.33,100.7,327.07,415.35,382.56,75.58,243.54,216.77,195.04,115.04,413.66,203.1,479.71,458.07,463.33,183.56,302.31,156.75,446.21,179.02,109.68
ATP6V1G3,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,1.74,0.03,0,0,0,0,0,0.03,0,0,0,0
ATP8B2,0.03,0,0,0,0.02,0,0.01,0,0.43,0,0,0,0,0.1,0,0,1.63,0,0.03,0,0,0,0,0,0.03,0.18,0.81,0.07,0.06
ATPAF1,7.94,4.3,0,6.5,3.96,8,5.71,6.58,0.92,2.47,19.87,5.25,11.93,0.1,2.32,3.01,2.22,4.17,2.73,2.74,18.47,12.33,4.11,0,1.86,2.76,14.82,41.49,33.13
ATPIF1,36.16,40.82,19.39,4.42,2.47,3.35,4.07,1.75,4.63,11.18,15.25,5.67,5.24,27.79,23.75,234.44,304.29,373.17,85.25,83.07,90.63,49.19,80.38,393.35,437.36,543.97,112.8,120.51,96.4
ATXN7L2,0.03,0.11,0,1.49,1.66,1.12,3.35,1.1,1.99,1.09,1.04,6.15,12.52,0.1,0.95,1.81,0.95,13.47,12.45,2.21,5.56,0.87,2.01,13.72,6.82,6.97,0.6,0.29,0
AURKAIP1,4.91,6.89,0,6.43,4.88,10.5,5.16,1.34,6.46,3.01,13.21,22.02,11.17,4.69,4.73,79.37,78.45,80.57,73.9,41.68,30.64,54.42,105.6,109.83,52.84,49.92,143.03,23.79,15.3
B3GALNT2,43.68,19.7,33.47,16.18,15.1,19.77,12.83,19.97,5.05,21.06,18.31,6.12,8.21,28.91,8.58,19.98,15.85,12.44,48.67,3.61,5.66,2.05,6.35,20.07,7.17,8.16,4.14,13.5,14.71
B3GALT6,0.03,0,0,0.37,0.85,0.18,0.46,0,0.22,0.23,0,0,0,0.1,0,0,0,0,0.03,0.39,5.62,0,0,6.27,0.03,0.12,1.03,0.32,1.24
B4GALT2,0.03,0.59,0,2.14,6.94,7.14,1,1.55,2.79,0.25,3.81,0.25,2.07,0.1,0.31,0.67,0,0,0.03,0.7,0,2.79,1.16,4.88,0.03,0.01,0.6,0.73,0.25
B4GALT3,52.25,70,91.08,72.23,114.18,103.13,47.5,99,37.56,11.54,56.38,16.7,1.16,8.06,5.03,11.83,14.05,13.65,21.67,87.22,125.25,72.8,51.2,9.71,102.07,24.8,29.25,14.34,5.64
BAI2,0.03,1.83,5.06,0.95,1.91,1.46,0.39,0.97,0.27,0,2.34,1.32,1.22,0.1,0.48,2.44,0,0.28,6.34,0,0,0,2.2,0,0.03,0.1,0,0,0
BARHL2,0.03,0,0,1.08,0.82,0.77,3.25,0.99,5.52,2.14,0.78,3.49,1.89,0.1,1.98,0,1.56,0,0.03,0.47,0,0,0,0,0.03,0.06,0,0,0
BAT2L2,3.92,0.94,2.5,23.9,26.04,21.68,4.57,6.91,11.32,7.17,16.47,23.27,11.48,11.81,5.71,4.2,5.75,4.74,1.07,3.5,4.15,4.27,4.4,2.37,2.67,7.29,2.72,0.48,0.24
BATF3,16.44,3.07,0.68,7.71,7.02,7.01,2.48,2.76,31.88,0,1.31,12.69,45.17,0.1,9.64,8.3,0.44,8.5,0.03,10.95,39.31,1.33,21.58,10.5,33.47,0.96,151.12,161.32,107.38
BCAN,0.03,0,0,0,0,0,0.01,0,0,0,0,0,0,0.1,0,0,0,0,2.77,0.55,11.45,0,0,0,0.03,0.02,0,0,0
BCAR3,0.03,0.5,0,0.98,1.45,0.56,2.81,0.23,3.2,3.45,0.9,5.62,16.94,0.1,3.96,0,0,0,0.03,0,0,0,0,0,0.03,0,0.03,0,0.9
BCAS2,99.97,105.48,137.55,114.34,84.41,64.65,137.31,61.3,71.86,191.03,145.81,34.09,43.74,108.43,72.07,17,40.61,21.94,4.1,19.84,2.07,31.63,6.26,22.24,175.65,7.45,49.19,203.39,227.93
BCL10,40.11,28.91,50.83,12.98,9.51,1.96,10.65,14.43,1.11,10.46,1.99,3.32,1.57,0.1,2.39,22.6,17.87,24.74,24.45,15.21,37.12,9.82,33.57,38.4,37.77,25.71,3.62,21.41,19.31
BCL2L15,0.03,0,0,0,0,0,0,0,0,0.32,0,0,0,0.1,0,0.22,0,0,0.03,0,0,0,0,0,0.03,0,0,0.47,0
BCL9,1.28,6.01,3.05,2.74,2.91,2.49,4.94,5.02,12.19,5.41,3.56,5.95,6.45,19.46,18.46,0.32,3.22,1.98,6.18,5.78,5.84,3.6,2.15,2.27,2.54,2.01,0.08,0.48,0.08
BGLAP,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.03,0,1.21,0,0,0,172.2,0,1.25,0,0
BLZF1,0.03,3.53,1.7,1.96,0.41,0.34,3.49,1.9,0.51,0,0.33,2.76,0.73,0.1,0,13.23,17.6,11.94,71.08,38.81,3.43,23.75,7.97,2.7,5.08,32.98,4.46,3.82,6.85
BMP8A,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.01,0.13,0.03,0,0,0,0,0,0.03,0,0.28,0,0
BNIPL,0.03,0,0,0,0,0,0.03,0,0,0.33,0,0,0,0.1,0,0,0,4.62,1.87,0,0,0,3.95,0,0.03,0,0.13,0.41,0
BOLA1,0.03,0,0,0.11,6.1,4.37,4.68,0.57,1,0.67,0,8.83,0,0.1,0.56,30.36,17,0,0.03,0.82,2.32,86.16,89.09,12.8,84.49,78.07,91.41,15.79,2.9
BPNT1,7.91,2.39,4.62,2.39,0.55,3.85,0.38,3.96,0,6.6,1.14,0.09,0.32,0.1,4.75,0.71,6.98,1.75,0.03,0,0,0,0,0,2.57,4.14,2.96,0.28,0.46
BRDT,3.66,6.65,8.69,64.21,57.38,52.2,13.04,33.39,47.09,35.21,46.67,64.21,48.59,6.18,29.46,179.94,254.18,380.27,87.8,306.95,4.92,39.17,56.3,110.87,22.45,139.25,47.24,46.63,51.43
BRP44,55.55,41.52,47.46,33.61,28.74,55.72,48.08,56.16,42.21,97.92,94.33,42.77,96.91,7.6,88.48,53.61,60.04,72.65,420.93,82.84,74.3,39.83,167.01,64.4,101.79,169.07,46.59,37.25,32.2
BSDC1,1.64,0.2,1.46,5,10.72,10.56,15.68,9.87,13.87,7.58,10.33,15.42,18.73,14.13,15.34,0.81,0.91,4.97,12.56,8.59,1.55,11.36,9.06,20.16,5.43,12.34,2.3,0.81,1.01
BTBD8,0.03,0,0,0.15,0.01,0.03,0.02,0,0,0,0,0,0,0.1,0,0,0,0,0.03,0.63,0,0,0,0,0.03,0,0.45,0,0.54
BTF3L4,6.44,4.6,3.92,1.22,1.54,0.08,2.63,5.24,3.18,13.29,11.19,10.25,19.65,8.22,1.89,17.37,28.45,36.82,13.99,8.91,6.52,26.74,6.61,29.92,6.2,5.34,32.53,89.09,108.25
C1orf100,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,2.75,0.18,0.03,0.38,0,0,0,0,0.03,0,0,0,0
C1orf101,3.34,0,0,0,0.06,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.03,0,0,0,0,0.66,0.03,0,0,0,0
C1orf103,2.4,1.11,0,2.7,1.69,2.17,1.13,1.34,1.01,17.37,0.83,0.61,1.24,14,4.46,15.22,31.19,9.96,4.04,25.76,2.51,13.4,7.01,39.23,3.31,17.31,1.4,18.53,16.63
C1orf104,0.03,0,0,0.07,0.13,0.22,0,0,0.11,0.32,0,0.44,0,0.1,0.61,0,0.69,0,0.03,0,1.87,1.82,4.35,1.25,0.03,0,1.09,2.61,3.35
C1orf107,0.03,0.38,0,0.52,0.19,0.28,0.25,0.07,0.42,0.53,0.71,0.36,0,21.27,0,5.01,8.7,16.41,4.73,12.05,29.04,8,12.62,13.07,17.88,13.3,2.64,5.92,5.61
