oocyte #1,oocyte #3,oocyte #4,pronuclear #3,pronuclear #4,pronuclear #2,zygote #1,zygote #2,2 cell #1,2 cell #5,2 cell #6,4 cell #1,4 cell #2,4 cell #3,4 cell #4,8 cell #3a,8 cell #6a,8 cell #7a,8 cell #1b,8 cell #2b,8 cell #3b,8 cell #4b,8 cell #5b,8 cell #3c,8 cell #5c,8 cell *,morula #1,morula #4,morula #5,
FLOT2,0.03,3.2,0,7.13,16,15.48,7.24,4.41,3.84,0.38,9.24,3.9,3.34,37.51,5.27,12.12,1.2,0,0.03,2.26,0,0.7,4.85,0,10.03,0.33,11.39,0.23,0.93
FMNL1,15.59,7.18,9.69,2.08,3.12,8.85,2.89,6.38,2.22,3.34,6.55,3.88,2.53,0.1,1.92,0.56,0.9,1.06,0.03,0.57,0.77,4.33,3.05,0.43,18.89,1.54,0,0.35,0
FN3K,0.03,0,0,0.01,0.02,0.09,0.48,0.07,0.07,0,0,0,0,0.1,0.64,0,0,0,0.03,0,0,0,0.94,0,0.03,0,0,0,0
FN3KRP,0.03,0.56,0,2.1,3.65,1.68,1.08,1.71,4.88,0,0.56,0.39,5.11,0.1,2.26,2.22,20.22,6.06,8.22,9.21,0,0,25.89,27.24,4.9,30.43,23.16,11.49,12.07
FNDC8,0.03,0,0,0,0.36,0.07,0,0,0,0,0,0,0,0.1,0,0,0,0,0.03,0,0,0,0,0,0.03,0,0.03,0,0
FOXJ1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.03,0,0,0,2.44,0,0.03,0.05,0,0,0
FOXK2,12.65,8.28,6.72,30.7,47.88,58.6,35.38,21.2,27.77,14.21,18.7,32.41,27.39,8.7,22.16,7.9,8.85,10.4,1.75,5.1,2.06,10.54,23.46,10.91,7.14,13.18,14.46,2.49,7.22
FSCN2,0.03,0,0,0,0,0.03,0,0,0,0,0,0,0,0.1,4.25,0,0,0,0.03,0,0,0,0,0,0.03,0,0,0,0
FTSJ3,1.25,0.21,0,12.08,17.53,5.8,12.33,0.07,6.74,0.83,8.55,25.43,25.92,4.62,6.44,72.31,99.54,142.2,47.24,118.92,123.78,59.06,56.45,29.63,13.67,22.62,52.71,11.05,11.71
FXR2,2.36,4.26,3.7,3.42,6.66,4.96,6.01,2.92,7,2.53,3.11,1.32,7.31,10.9,9.93,25,10.57,12.02,19.44,3.33,49.58,10.1,9.97,26.67,173.17,10.27,16.98,1.65,4.24
